neighborhood,category,projected,actual,district,occurences
Allston / Brighton,Breathe Easy,7776000.565,7476043.435,15,23
Back Bay,Breathe Easy,7775996.333,8157255.667,6,3
Beacon Hill,Breathe Easy,7775999,12445328,14,1
Boston,Breathe Easy,7776000,6119236.5,14,4
Brighton,Breathe Easy,7775999.5,8809259,15,2
Charlestown,Breathe Easy,7775999.938,3016775.813,2,16
Dorchester,Breathe Easy,7775999.854,4935397.465,9,157
Downtown / Financial District,Breathe Easy,7776000,1383400,4,1
East Boston,Breathe Easy,7775999.184,8391933.425,1,87
Fenway / Kenmore / Audubon Circle / Longwood,Breathe Easy,7775999.667,3120365.778,14,9
Greater Mattapan,Breathe Easy,7776000.156,6131086.711,9,128
Hyde Park,Breathe Easy,7775999.821,7542361.25,10,28
Jamaica Plain,Breathe Easy,7775999.817,8093360.592,10,71
Mattapan,Breathe Easy,7775999.5,4068005,9,2
Mission Hill,Breathe Easy,7776000.139,7189973.333,14,36
Roslindale,Breathe Easy,7776000.143,4808356.619,10,42
Roxbury,Breathe Easy,7775999.93,7373622.469,13,243
South Boston,Breathe Easy,7775999.667,1795443.333,5,3
South Boston / South Boston Waterfront,Breathe Easy,7775999.895,8103187.579,5,38
South End,Breathe Easy,7775999.8,7720744.2,6,30
West Roxbury,Breathe Easy,7775999.733,3201988,10,15
