neighborhood,category,projected,actual,district,occurences
Allston,Building Inspection Request,361156.2222,18703242.89,15,9
Allston / Brighton,Building Inspection Request,378273.8685,5079446.167,15,426
Back Bay,Building Inspection Request,377393.57,7214597.161,14,607
Beacon Hill,Building Inspection Request,362679.5864,7272243.227,14,220
Boston,Building Inspection Request,371301.5553,3819772.82,6,389
Brighton,Building Inspection Request,356627.3462,3275884.077,15,26
Charlestown,Building Inspection Request,367363.2165,2523337.711,2,291
Dorchester,Building Inspection Request,371877.4675,4792244.244,8,1275
Downtown / Financial District,Building Inspection Request,366663.603,4920577.19,3,811
East Boston,Building Inspection Request,376104.6557,4403197.296,1,575
Fenway / Kenmore / Audubon Circle / Longwood,Building Inspection Request,376667.1948,8385450.532,14,154
Greater Mattapan,Building Inspection Request,369450.6049,4973251.324,9,324
Hyde Park,Building Inspection Request,367097.9363,4281142.668,10,361
Jamaica Plain,Building Inspection Request,376659.7857,8077895.952,11,518
Mattapan,Building Inspection Request,352263.5455,3323769.909,9,11
Mission Hill,Building Inspection Request,382671.5246,3773000.434,14,122
Roslindale,Building Inspection Request,377897.4415,6057054.441,10,299
Roxbury,Building Inspection Request,375649.5609,6512386.755,13,583
South Boston,Building Inspection Request,365641.2353,4034585.794,5,34
South Boston / South Boston Waterfront,Building Inspection Request,366811.3802,6236176.852,6,655
South End,Building Inspection Request,377967.5171,5603594.241,6,439
West Roxbury,Building Inspection Request,372937.5442,3734395.112,12,419
