neighborhood,category,projected,actual,district,occurences
Allston,CE Collection,173760,11673.5,15,2
Allston / Brighton,CE Collection,147971.9295,36990.48182,15,440
Back Bay,CE Collection,209828.902,36580.13545,14,694
Beacon Hill,CE Collection,179439.4876,28026.49845,3,1288
Boston,CE Collection,181350.6022,29917.17204,14,93
Brighton,CE Collection,172800,40410,15,6
Charlestown,CE Collection,156378.5208,14382.60417,2,48
Dorchester,CE Collection,140034.1652,35323.48348,7,333
Downtown / Financial District,CE Collection,143336.6142,33233.3015,3,1068
East Boston,CE Collection,134869.6639,76861.90574,1,244
Fenway / Kenmore / Audubon Circle / Longwood,CE Collection,124717.6378,37345.52756,13,127
Greater Mattapan,CE Collection,135830.5591,72923.37795,9,127
Hyde Park,CE Collection,147172.9238,31504.06667,10,105
Jamaica Plain,CE Collection,129446.9889,27603.47778,11,90
Mattapan,CE Collection,100835,33043.33333,7,6
Mission Hill,CE Collection,132511.6016,16574.23577,14,123
Roslindale,CE Collection,163289.2174,33257.52174,10,23
Roxbury,CE Collection,137733.0488,22321.23476,13,328
South Boston,CE Collection,202293.6667,89747.5,5,6
South Boston / South Boston Waterfront,CE Collection,134372.5793,39633.27306,5,271
South End,CE Collection,141052.5253,37678.16968,6,554
West Roxbury,CE Collection,94690.40741,25625.40741,12,27
,CE Collection,86399.66667,12012.33333,9,3
