neighborhood,category,projected,actual,district,occurences
Allston,Chronic Dampness/Mold,7776010,939537,15,1
Allston / Brighton,Chronic Dampness/Mold,7776004.448,2690788.701,15,67
Back Bay,Chronic Dampness/Mold,7775999.769,4315798.077,14,13
Beacon Hill,Chronic Dampness/Mold,7776004.222,2655163.889,14,9
Boston,Chronic Dampness/Mold,7776000,771214.25,5,4
Brighton,Chronic Dampness/Mold,7776035,2286,15,1
Charlestown,Chronic Dampness/Mold,7776006.2,3763401.2,2,10
Dorchester,Chronic Dampness/Mold,7776005.621,2666146.543,8,140
Downtown / Financial District,Chronic Dampness/Mold,7776000.85,2260000.55,3,20
East Boston,Chronic Dampness/Mold,7776001.409,1587827.773,1,22
Fenway / Kenmore / Audubon Circle / Longwood,Chronic Dampness/Mold,7776003.9,9863641.133,14,30
Greater Mattapan,Chronic Dampness/Mold,7776002.863,2968678.5,9,80
Hyde Park,Chronic Dampness/Mold,7776002.417,4314998.833,10,24
Jamaica Plain,Chronic Dampness/Mold,7776001.368,4258052.026,11,38
Mattapan,Chronic Dampness/Mold,7776000,1326619.75,9,4
Mission Hill,Chronic Dampness/Mold,7776003.257,3618714.971,13,35
Roslindale,Chronic Dampness/Mold,7776001.306,2857080.306,10,36
Roxbury,Chronic Dampness/Mold,7776005.701,3730617.991,13,107
South Boston,Chronic Dampness/Mold,7776000,179636,5,1
South Boston / South Boston Waterfront,Chronic Dampness/Mold,7776000.871,2660933.355,5,31
South End,Chronic Dampness/Mold,7776000.844,4465829.281,6,32
West Roxbury,Chronic Dampness/Mold,7775999.824,2354695.235,12,17
