neighborhood,category,projected,actual,district,occurences
Allston,Cross Metering - Sub-Metering,7775999.5,637407,15,2
Allston / Brighton,Cross Metering - Sub-Metering,7776001.143,5319053.714,15,49
Back Bay,Cross Metering - Sub-Metering,7776009.875,9494221.125,14,8
Beacon Hill,Cross Metering - Sub-Metering,7775999.667,3510389.667,14,3
Boston,Cross Metering - Sub-Metering,7776005.5,1505438,3,2
Charlestown,Cross Metering - Sub-Metering,7776006.625,10790263.25,2,8
Dorchester,Cross Metering - Sub-Metering,7776002.638,4342572.132,8,152
Downtown / Financial District,Cross Metering - Sub-Metering,7776004.273,6394455.636,3,11
East Boston,Cross Metering - Sub-Metering,7775999.857,3915297.571,1,42
Fenway / Kenmore / Audubon Circle / Longwood,Cross Metering - Sub-Metering,7775999.667,1623700.667,14,3
Greater Mattapan,Cross Metering - Sub-Metering,7776000.842,4222487.737,8,76
Hyde Park,Cross Metering - Sub-Metering,7776002.563,5820725.354,10,48
Jamaica Plain,Cross Metering - Sub-Metering,7776001.26,1928563.12,11,50
Mattapan,Cross Metering - Sub-Metering,7776000,11221928,10,1
Mission Hill,Cross Metering - Sub-Metering,7776001.794,795092.7647,14,34
Roslindale,Cross Metering - Sub-Metering,7776000.854,5625549.293,10,41
Roxbury,Cross Metering - Sub-Metering,7776002.819,4298299.351,13,94
South Boston,Cross Metering - Sub-Metering,7776023,1805603,5,2
South Boston / South Boston Waterfront,Cross Metering - Sub-Metering,7775999.895,1805320.842,0,19
South End,Cross Metering - Sub-Metering,7775999.667,4899187.333,6,3
West Roxbury,Cross Metering - Sub-Metering,7776000.615,4100715,12,13
,Cross Metering - Sub-Metering,7776000,17877934,,5
