neighborhood,category,projected,actual,district,occurences
Allston,Equipment Repair,793906.4783,2538638.739,15,23
Allston / Brighton,Equipment Repair,644059.2,1397220,15,10
Back Bay,Equipment Repair,660940.3333,943979.1667,14,6
Beacon Hill,Equipment Repair,636747.0694,1942450.264,14,72
Boston,Equipment Repair,654886.7006,1871583.729,3,177
Brighton,Equipment Repair,663488.2571,1815839,15,35
Charlestown,Equipment Repair,646434.7586,2409157.448,2,58
Dorchester,Equipment Repair,651229.1503,1487322.196,8,286
Downtown / Financial District,Equipment Repair,642234.8462,1456489.846,4,13
East Boston,Equipment Repair,712859.2989,2315466.851,1,87
Fenway / Kenmore / Audubon Circle / Longwood,Equipment Repair,630569.2121,1457512.788,14,33
Greater Mattapan,Equipment Repair,636323.1875,1313719.078,13,64
Hyde Park,Equipment Repair,650251.5652,1938173.478,10,23
Jamaica Plain,Equipment Repair,666314.4688,2064898.521,11,96
Mattapan,Equipment Repair,605381.5,305744.75,9,4
Mission Hill,Equipment Repair,628253.45,1871409.175,14,40
Roslindale,Equipment Repair,668610.6667,1837365.487,10,39
Roxbury,Equipment Repair,649256.0118,1788962.675,13,169
South Boston,Equipment Repair,668953.0638,2344054.447,5,47
South Boston / South Boston Waterfront,Equipment Repair,642594.625,2835456.083,5,24
South End,Equipment Repair,633096.0909,2776188.091,4,11
West Roxbury,Equipment Repair,700572.5385,601329.359,12,39
