neighborhood,category,projected,actual,district,occurences
Allston / Brighton,Exceeding Terms of Permit,647515.4583,15355293.88,15,24
Back Bay,Exceeding Terms of Permit,625260.9722,12789090.69,14,36
Beacon Hill,Exceeding Terms of Permit,642116.3684,9419059.737,14,19
Boston,Exceeding Terms of Permit,642260,11770625.09,14,11
Brighton,Exceeding Terms of Permit,648051,414001,15,2
Charlestown,Exceeding Terms of Permit,632815.2432,7747253.892,2,37
Dorchester,Exceeding Terms of Permit,642134.6809,7620754.894,7,47
Downtown / Financial District,Exceeding Terms of Permit,654627,7166940.16,3,25
East Boston,Exceeding Terms of Permit,633495.7059,5052962.059,1,17
Fenway / Kenmore / Audubon Circle / Longwood,Exceeding Terms of Permit,610186.75,6327581.625,14,8
Greater Mattapan,Exceeding Terms of Permit,663901.5,4054139.5,9,4
Hyde Park,Exceeding Terms of Permit,640441,9451515.846,10,13
Jamaica Plain,Exceeding Terms of Permit,630423.0233,12395753.14,11,43
Mattapan,Exceeding Terms of Permit,610500,1228812,9,1
Mission Hill,Exceeding Terms of Permit,618678.5,958670.25,14,4
Roslindale,Exceeding Terms of Permit,644138.88,4901778.16,10,25
Roxbury,Exceeding Terms of Permit,662204,7712637.091,13,22
South Boston,Exceeding Terms of Permit,636220.5882,3555249.765,5,17
South Boston / South Boston Waterfront,Exceeding Terms of Permit,640671,11301620.79,5,78
South End,Exceeding Terms of Permit,634556.2308,13264543.62,4,39
West Roxbury,Exceeding Terms of Permit,612953.5556,9144602.444,12,18
