neighborhood,category,projected,actual,district,occurences
Allston,Request for Pothole Repair,267065.6829,67078.90244,15,41
Allston / Brighton,Request for Pothole Repair,237506.5221,207959.6809,15,3212
Back Bay,Request for Pothole Repair,369119.1773,660753.4446,14,1777
Beacon Hill,Request for Pothole Repair,223935.8,544367.4584,14,565
Boston,Request for Pothole Repair,415323.2794,707459.5183,14,519
Brighton,Request for Pothole Repair,881616.7347,587840.0306,15,98
Charlestown,Request for Pothole Repair,303109.0788,335204.6877,2,1409
Dorchester,Request for Pothole Repair,267962.8378,321618.9971,13,3434
Downtown / Financial District,Request for Pothole Repair,312614.3361,588987.9233,6,2606
East Boston,Request for Pothole Repair,345886.1481,1152235.337,1,513
Fenway / Kenmore / Audubon Circle / Longwood,Request for Pothole Repair,301974.7201,471132.0963,14,1111
Greater Mattapan,Request for Pothole Repair,209849.5788,248973.7807,9,1491
Hyde Park,Request for Pothole Repair,214586.2761,67839.87929,10,2651
Jamaica Plain,Request for Pothole Repair,251605.3112,354688.7113,11,1732
Mattapan,Request for Pothole Repair,183305.4722,86232.27778,7,36
Mission Hill,Request for Pothole Repair,270855.4061,595896.1354,14,628
Roslindale,Request for Pothole Repair,314410.3545,215543.2119,10,1024
Roxbury,Request for Pothole Repair,281169.6551,380244.2644,13,2572
South Boston,Request for Pothole Repair,242165.9111,623875.8889,5,45
South Boston / South Boston Waterfront,Request for Pothole Repair,880142.2651,403039.2964,5,1822
South End,Request for Pothole Repair,501767.9065,867828.0814,6,1241
West Roxbury,Request for Pothole Repair,220833.3124,322196.2148,12,1876
