case_status,location,date,text
Closed,"103 107 Freeport St, Dorchester",2016-03-08 04:40:16,"Closed Litter report at 103 107 Freeport St, Dorchester https://t.co/9Lmpt7m0Lr. Case closed. case resolved. clean up area."
Closed,58 Rossmore Rd Jamaica Plain,2016-03-08 03:41:24,Closed Damaged Sign report at 58 Rossmore Rd Jamaica Plain https://t.co/Nnx931ZNXm. Case closed. case resolved. fixed problem.
Closed,"1 Allen Rd, Apt 1, Brighton",2016-03-08 03:09:08,"Closed Dead Animal Pick-up report at 1 Allen Rd, Apt 1, Brighton https://t.co/Q9yOstT7nG. Case closed. case resolved. it is all set."
Opened,33 River St https://t.co/lSOByB6eqv. Rat nest.,2016-03-08 03:04:48,Opened Rodent Sighting report via iphone at 33 River St https://t.co/lSOByB6eqv. Rat nest. https://t.co/76qi8jw22g
Closed,1 City Hall Plz https://t.co/t0G0jSQEUg. Case closed. duplicate of existing case.,2016-03-08 02:42:27,Closed Illegal Parking report at 1 City Hall Plz https://t.co/t0G0jSQEUg. Case closed. duplicate of existing case. https://t.co/83KqhBxAwm
Opened,"20 Cedrus Ave, Roslindale",2016-03-08 02:06:12,"Opened Street Lights report via iphone at 20 Cedrus Ave, Roslindale https://t.co/LwWhYHVKvr. Led street light out."
Opened,201 Washington St https://t.co/Tx5rL5jaDe.,2016-03-08 01:48:33,Opened Illegal Graffiti report via android at 201 Washington St https://t.co/Tx5rL5jaDe. https://t.co/iH8kNdXKOs
Opened,"15 Kelley Ct, Brighton https://t.co/6ewoXbi4wb. Rats.",2016-03-08 00:40:23,"Opened Rodent Sighting report via iphone at 15 Kelley Ct, Brighton https://t.co/6ewoXbi4wb. Rats. https://t.co/eMjocILJL2"
Opened,"1 Allen Rd, Apt 1, Brighton",2016-03-08 00:13:28,"Opened Dead Animal Pick-up report via iphone at 1 Allen Rd, Apt 1, Brighton https://t.co/Q9yOstT7nG. Dead rat in road."
Opened,26 Irving St https://t.co/WJ9xrYGeTb.,2016-03-08 00:08:31,Opened Litter report via iphone at 26 Irving St https://t.co/WJ9xrYGeTb. https://t.co/sKFXHKVJ3R
Opened,899 925 Commonwealth Ave,2016-03-07 23:58:28,Opened Street Lights report via android at 899 925 Commonwealth Ave https://t.co/m2PStRtg4j. Four lights out in front of agassiz arena.
Opened,"17 19 Denny St, Dorchester",2016-03-07 23:37:15,"Opened Illegal Parking report via iphone at 17 19 Denny St, Dorchester https://t.co/lJHzJ7PcL8. Non resident parking!"
Closed,"170 Harvard Ave, Allston https://t.co/HGEQkmfmNj. Case closed. case resolved.",2016-03-07 23:29:23,"Closed Illegal Graffiti report at 170 Harvard Ave, Allston https://t.co/HGEQkmfmNj. Case closed. case resolved. https://t.co/PCKJH5mqgh"
Opened,"503 E Third St, 1, South Boston",2016-03-07 23:23:42,"Opened Illegal Parking report via iphone at 503 E Third St, 1, South Boston https://t.co/RUMHkhKClh. Non resident in res spot."
Opened,"26 Caspian Way, Dorchester https://t.co/qwypg25H5M. Please clean up.",2016-03-07 23:04:12,"Opened Litter report via iphone at 26 Caspian Way, Dorchester https://t.co/qwypg25H5M. Please clean up. https://t.co/8jndRw0Q3a"
Opened,"Intersection Of Howard Pl &amp; Elm St, Charlestown",2016-03-07 23:00:48,"Opened Illegal Parking report via iphone at Intersection Of Howard Pl &amp; Elm St, Charlestown https://t.co/MN43z69JZ5. Car in no parking zone."
Opened,59 Chandler St https://t.co/jWEY1tm1yY.,2016-03-07 22:48:42,Opened Illegal Parking report via iphone at 59 Chandler St https://t.co/jWEY1tm1yY. https://t.co/lfsl60mN9v
Opened,Intersection Of Hull St &amp; Salem St,2016-03-07 22:11:34,Opened Litter report via iphone at Intersection Of Hull St &amp; Salem St https://t.co/HQHiFOnh9K. Trash in gutter.
Opened,"20 Pine St, 3 https://t.co/QDGdMN2hT6.",2016-03-07 21:53:44,"Opened Illegal Graffiti report via iphone at 20 Pine St, 3 https://t.co/QDGdMN2hT6. https://t.co/GALMQTrqQx"
Closed,"65 Athol St, Allston https://t.co/fWyhqOx7KZ. Case closed. case resolved. pothole patched.",2016-03-07 21:52:57,"Closed Pothole report at 65 Athol St, Allston https://t.co/fWyhqOx7KZ. Case closed. case resolved. pothole patched. https://t.co/KdXlTF71BL"
Opened,"142 Bigelow St, 1, Brighton https://t.co/74IN4C5gI7. Hydrant again.",2016-03-07 21:46:51,"Opened Illegal Parking report via iphone at 142 Bigelow St, 1, Brighton https://t.co/74IN4C5gI7. Hydrant again. https://t.co/3sAe3zZ1dZ"
Closed,"5 Sunset St, Mission Hill",2016-03-07 21:36:49,"Closed Rodent Sighting report at 5 Sunset St, Mission Hill https://t.co/YpIvYhQzeD. Case closed. adclsd: administratively closed."
Opened,"472 Quincy St, 1, Dorchester https://t.co/xkfhURKd0O. Litter in alley.",2016-03-07 21:36:21,"Opened Litter report via iphone at 472 Quincy St, 1, Dorchester https://t.co/xkfhURKd0O. Litter in alley. https://t.co/ul7H0jV8Nv"
