neighborhood,category,avg_projected_time_delta_sec,avg_actual_time_delta_sec,service_district,median_HH_income,num_occurances
Dorchester,Tree Maintenance Requests,44171010.6783894,9470389.348623853,7,46988.0,1962
West Roxbury,Tree Maintenance Requests,43541584.4754522,10301081.819767442,12,71066.0,1548
Downtown / Financial District,Street Light Outages,21730893.999661475,3846610.9563303995,3,60025.0,2954
South Boston / South Boston Waterfront,Street Light Outages,30478947.342723005,3919725.6791862287,5,76328.0,1917
South End,Tree Maintenance Requests,43079094.590016365,11955709.5801964,6,62267.0,1222
Dorchester,New Tree Requests,59472266.29350348,18372941.584686775,7,46988.0,862
South Boston / South Boston Waterfront,Tree Maintenance Requests,43003249.01096121,8273599.508431703,5,76328.0,1186
West Roxbury,New Tree Requests,59959989.60621118,17304803.254658386,12,71066.0,805
Back Bay,Street Light Outages,15011358.121321125,4309893.298561151,14,83485.0,3058
Allston / Brighton,Tree Maintenance Requests,43576760.665334664,9964465.974025974,15,49572.0,1001
Dorchester,Street Light Outages,10734840.98019802,2938554.1613861388,7,46988.0,4040
Jamaica Plain,Tree Maintenance Requests,43639099.44045175,6675144.566735113,11,65963.0,974
Roxbury,Tree Maintenance Requests,43520126.07040704,7758642.4488448845,13,27052.0,909
Roslindale,Tree Maintenance Requests,42368076.338427946,6674711.07860262,10,62913.0,916
Charlestown,Tree Maintenance Requests,45002282.19512195,10694951.754878048,2,83926.0,820
Hyde Park,Tree Maintenance Requests,43786780.73619632,11509195.533742331,10,53474.0,815
Dorchester,Sidewalk Repair,37560493.11712707,16962566.362430938,13,46988.0,905
East Boston,Tree Maintenance Requests,42881895.5513308,10208354.566539925,1,43511.0,789
Greater Mattapan,Tree Maintenance Requests,43690426.579973996,8276619.452535761,9,34126.0,769
East Boston,Street Light Outages,20305563.83141503,3589706.5172647256,1,43511.0,1477
Allston / Brighton,Street Light Outages,17460574.112658996,3666938.5517867957,15,49572.0,1651
Allston / Brighton,New Tree Requests,57677960.5101626,19938937.016260162,15,49572.0,492
Dorchester,Unsatisfactory Living Conditions,10368000.952245863,4511013.846808511,13,46988.0,2115
Roslindale,New Tree Requests,59644633.69164265,14867521.35446686,10,62913.0,347
East Boston,Sidewalk Repair,38309290.92962963,25475629.60185185,1,43511.0,540
South End,New Tree Requests,57667172.402234636,18895252.567039106,6,62267.0,358
South Boston / South Boston Waterfront,New Tree Requests,59222229.61356932,20410872.356932152,5,76328.0,339
