date,text
2016-03-19 23:56:28,@BOS311 good to park by marine park overnight with a resident sticker? https://t.co/ipD0KQVfVj
2016-03-19 18:47:41,"@universalhub if this is gonna be a running @BOS311 feature consider me a huge fan, lol"
2016-03-19 13:38:18,Dear @BOS311 @marty_walsh the tourist helicopter season has started and already way below 1000' limit. https://t.co/HksFYwyogp
2016-03-18 17:22:16,@sadbikelane @marty_walsh @BOS311 This happens literally every single morning. https://t.co/vfeyRQ1kT0
2016-03-18 13:36:58,@heuston11416 @stacos @SocialInBoston did you @BOS311 ?
2016-03-18 13:23:34,"Hey BC, check out Boston 311! https://t.co/M1rpmzcNFH @BOS311 @CityOfBoston https://t.co/3Q032Xnb8g"
2016-03-18 10:45:15,".@BOS311 hi, this has not been resolved. My apartment is still being woken up by the driver"
2016-03-18 02:32:21,@heuston11416 @maureencaught @stacos @SocialInBoston let @BOS311 know.
2016-03-18 02:23:24,"@BOS311 
So does this mean no to painting in a visible crosswalk? https://t.co/EHE9fnBbnd"
2016-03-18 01:57:09,@BOS311 is garbage on regular schedule this week?
2016-03-17 22:50:48,@sadbikelane @BOS311 @marty_walsh @wutrain LITERALLY a constant state for this bike lane.
2016-03-17 22:30:37,":( @BOS311 @marty_walsh @wutrain mass ave x columbus is blocked, so weird! #notmarty2017 https://t.co/kU5qSyeQuD"
2016-03-17 20:17:54,@BOS311 Fire Alarm Box on the corner of O Street and East Seventh Street South Boston. The light is out. Has been out for over a week.
2016-03-17 19:51:41,@BOS311 Loose and missing bricks. 31 Temple St BH. #TripAndFallHazard ⚠
2016-03-17 17:23:36,@BOS311 thanks so much! will do!
2016-03-17 16:29:50,shout out to michelle in the @CityOfBoston parking office for being an #everydayhero and not laughing at my parking woes. @…
2016-03-17 16:24:27,"@bos311 Loose, missing and uneven bricks, the whole length of 128 Chestnut St BH. Walking and cart pushing a major endeavor."
2016-03-17 16:22:52,shout out to michelle in the @CityOfBoston parking office for being an #everydayhero and not laughing at my parking woes. @BOS311
2016-03-17 15:42:02,I do and did in this case as well @ORSBoston @BOS311
2016-03-17 15:28:10,@dtoppsr Thank you. Please always call 311 or use @BOS311 app to report any needles.
2016-03-17 15:06:40,@BOS311 I received someone's birth cert in mail. Now what to do? How can I locate mine and make sure its in safe hands?
2016-03-17 13:30:26,"@bos311 I know the meters are free all day today, but what about the ""2 Hour Visitor Parking"" spots around the city? Thanks!"
2016-03-17 13:16:37,:( @BOS311 @marty_walsh mass ave x beacon https://t.co/q0WDB266em
2016-03-17 00:38:42,@BOS311 the traffic light at Kingston and Essex in downtown is stuck in red. 15 mins and counting.
2016-03-17 00:11:53,@BOS311 the lights at purchase and pearl are stuck on red. On greenway.  #universalhub
2016-03-16 22:45:34,I have been SO impressed by the @BOS311 response time in the South End lately.
2016-03-16 22:01:46,:( @BOS311 columbus x mass ave @marty_walsh @wutrain no bike lane no vote #notmarty2017 https://t.co/m9jmL8SRhm
2016-03-16 21:06:12,@BOS311 can you tell me if its legal for a commercial vehicle to park over night on a residential street?
2016-03-16 16:33:42,@GreenovateBos @BOS311 thanks. Do you have an email for Boston Schoolyard Initiative? Having hard time finding one
2016-03-16 12:34:53,@BOS311 hi! There's a 4 way stop @ Canterbury and Neponset missing one stop sign. Saw 3 near accidents this am. Please fix :)
2016-03-16 12:09:47,"@BOS311 mobile view of city holiday list missing sub-text, which makes it look like city hall is closed tomorrow https://t.co/FJFWQPFCtV"
2016-03-16 01:38:38,"@BOS311 Check out this Litter at 349 Adams St, Dorchester - ripped and now hanging down into sidewalk 
https://t.co/lAI22Rpu2W"
2016-03-15 18:33:32,"@BOS311 For two days this truck parked in front of hydrant at 25 Lime St, BH https://t.co/BqXLe4dS4v"
2016-03-15 18:28:19,@BOS311 Catch basin at intersection of Chestnut and Brimmer not draining. Flooding the area.
2016-03-15 14:10:14,@BOS311 why can't these scavengers be stopped from ripping open recycling bags and making a mess?
2016-03-15 10:52:56,"@BOS311 the driver has still been honking the past two days, at least three times each day :("
2016-03-14 22:23:29,@BOS311 Gas light needs new mantles. Corner of Brimmer and Chestnut. BH
2016-03-14 20:43:08,@BOS311 @Morrisos45 Thanks for letting us know!
